event_id,t_start,t_end,duration,n_cells,n_center,event_type,avg_score,is_spatial
0,0,0,1,1,69,spatial_sustained,0.6426,False
1,0,0,1,1,128,spatial_sustained,0.7514,False
2,0,0,1,1,352,spatial_sustained,0.6379,False
3,0,0,1,2,448,spatial_sustained,0.5947,True
4,0,0,1,1,551,spatial_sustained,0.8,False
5,0,0,1,1,766,spatial_sustained,0.6145,False
6,0,0,1,1,768,spatial_sustained,0.6038,False
7,0,0,1,1,864,spatial_sustained,0.5179,False
8,0,0,1,1,986,spatial_sustained,0.6195,False
9,0,0,1,1,1007,spatial_sustained,0.7939,False
10,0,0,1,1,1013,spatial_sustained,0.5717,False
11,1,1,1,1,112,spatial_sustained,0.7713,False
12,1,1,1,9,275,spatial_sustained,0.5994,True
13,1,1,1,2,442,spatial_sustained,0.6786,True
14,1,1,1,9,460,spatial_sustained,0.851,True
15,1,1,1,1,768,spatial_sustained,0.6178,False
16,1,1,1,1,869,spatial_sustained,0.8,False
17,1,1,1,1,925,spatial_sustained,0.6361,False
18,2,2,1,1,20,spatial_sustained,0.8,False
19,2,2,1,1,27,spatial_sustained,0.8,False
20,2,2,1,3,48,spatial_sustained,0.7692,True
21,2,2,1,1,111,spatial_sustained,0.5062,False
22,2,2,1,1,113,spatial_sustained,0.7626,False
23,2,2,1,1,148,spatial_sustained,0.6571,False
24,2,2,1,1,232,spatial_sustained,0.564,False
25,2,2,1,9,275,spatial_sustained,0.8417,True
26,2,2,1,1,255,spatial_sustained,0.5757,False
27,2,2,1,1,293,spatial_sustained,0.559,False
28,2,2,1,1,313,spatial_sustained,0.8531,False
29,2,2,1,1,321,spatial_sustained,0.5586,False
30,2,2,1,1,359,spatial_sustained,0.5746,False
31,2,2,1,4,451,spatial_sustained,0.6628,True
32,2,2,1,9,460,spatial_sustained,0.8605,True
33,2,2,1,1,548,spatial_sustained,0.5183,False
34,2,2,1,1,647,spatial_sustained,0.8561,False
35,2,2,1,1,722,spatial_sustained,0.8,False
36,2,2,1,1,768,spatial_sustained,0.7355,False
37,2,2,1,3,863,spatial_sustained,0.6296,True
38,2,2,1,1,990,spatial_sustained,0.5426,False
39,2,2,1,1,1020,spatial_sustained,0.5163,False
40,3,3,1,3,48,spatial_sustained,0.7475,True
41,3,3,1,1,58,spatial_sustained,0.5407,False
42,3,3,1,1,113,spatial_sustained,0.7251,False
43,3,3,1,2,215,spatial_sustained,0.6866,True
44,3,3,1,1,191,spatial_sustained,0.6568,False
45,3,3,1,1,232,spatial_sustained,0.5321,False
46,3,3,1,9,275,spatial_sustained,0.8228,True
47,3,3,1,1,313,spatial_sustained,0.9,False
48,3,3,1,1,416,spatial_sustained,0.8,False
49,3,3,1,9,460,spatial_sustained,0.8108,True
50,3,3,1,9,577,spatial_sustained,0.8544,True
51,3,3,1,1,586,spatial_sustained,0.8552,False
52,3,3,1,1,696,spatial_sustained,0.8538,False
53,3,3,1,1,766,spatial_sustained,0.63,False
54,3,3,1,1,768,spatial_sustained,0.686,False
55,3,3,1,1,808,spatial_sustained,0.8,False
56,3,3,1,1,858,spatial_sustained,0.7102,False
57,3,3,1,1,905,spatial_sustained,0.5603,False
58,4,4,1,1,3,spatial_sustained,0.6133,False
59,4,4,1,3,48,spatial_sustained,0.8158,True
60,4,4,1,1,63,spatial_sustained,0.8508,False
61,4,4,1,1,113,spatial_sustained,0.7743,False
62,4,4,1,1,150,spatial_sustained,0.8,False
63,4,4,1,2,223,spatial_sustained,0.5762,True
64,4,4,1,10,275,spatial_sustained,0.7933,True
65,4,4,1,1,318,spatial_sustained,0.8,False
66,4,4,1,1,332,spatial_sustained,0.631,False
67,4,4,1,2,417,spatial_sustained,0.5824,True
68,4,4,1,1,481,spatial_sustained,0.5211,False
69,4,4,1,9,577,spatial_sustained,0.9,True
70,4,4,1,1,551,spatial_sustained,0.5773,False
71,4,4,1,1,586,spatial_sustained,0.9,False
72,4,4,1,1,621,spatial_sustained,0.5055,False
