method,precision,recall,f1,auc_roc,auc_pr,tp,fp,fn,anomaly_rate,gt_rate
statistical,0.7139,0.8455,0.7741,0.965,0.7147,20859,8359,3813,0.0476,0.0402
statistical_morning_peak,0.9081,0.8981,0.9031,,,2856,289,324,0.0476,0.0402
statistical_off_peak,0.6848,0.9056,0.7798,,,7690,3540,802,0.0476,0.0402
statistical_evening_peak,0.6821,0.9054,0.7781,,,2719,1267,284,0.0476,0.0402
statistical_night,0.6995,0.7596,0.7283,,,7594,3263,2403,0.0476,0.0402
statistical_event,0.2903,0.979,0.4478,,,4431,10833,95,15264.0,4526.0
prediction,0.9969,0.3133,0.4768,0.9924,0.9474,7730,24,16942,0.0126,0.0402
prediction_morning_peak,1.0,0.3208,0.4857,,,1020,0,2160,0.0126,0.0402
prediction_off_peak,0.9918,0.3119,0.4746,,,2649,22,5843,0.0126,0.0402
prediction_evening_peak,1.0,0.2684,0.4232,,,806,0,2197,0.0126,0.0402
prediction_night,0.9994,0.3256,0.4912,,,3255,2,6742,0.0126,0.0402
prediction_event,1.0,0.8844,0.9387,,,4003,0,523,4003.0,4526.0
vae,0.1032,0.3707,0.1614,0.6624,0.0802,9145,79478,15527,0.1442,0.0402
vae_morning_peak,0.1041,0.3849,0.1639,,,1224,10532,1956,0.1442,0.0402
vae_off_peak,0.1096,0.4047,0.1725,,,3437,27925,5055,0.1442,0.0402
vae_evening_peak,0.105,0.3696,0.1636,,,1110,9457,1893,0.1442,0.0402
vae_night,0.0966,0.3375,0.1502,,,3374,31564,6623,0.1442,0.0402
vae_event,0.3307,0.9176,0.4862,,,4153,8404,373,12557.0,4526.0
transformer,0.1094,0.4491,0.176,0.6918,0.0871,11080,90157,13592,0.1648,0.0402
transformer_morning_peak,0.1132,0.4525,0.1811,,,1439,11271,1741,0.1648,0.0402
transformer_off_peak,0.1146,0.4621,0.1837,,,3924,30305,4568,0.1648,0.0402
transformer_evening_peak,0.1063,0.4449,0.1717,,,1336,11227,1667,0.1648,0.0402
transformer_night,0.105,0.4382,0.1694,,,4381,37354,5616,0.1648,0.0402
transformer_event,0.3157,0.9271,0.471,,,4196,9097,330,13293.0,4526.0
fusion,0.3689,0.9536,0.532,0.9691,0.9024,23528,40259,1144,0.1038,0.0402
fusion_morning_peak,0.5068,0.9673,0.6652,,,3076,2993,104,0.1038,0.0402
fusion_off_peak,0.3491,0.9504,0.5107,,,8071,15047,421,0.1038,0.0402
fusion_evening_peak,0.3104,0.9594,0.4691,,,2881,6400,122,0.1038,0.0402
fusion_night,0.3752,0.9503,0.538,,,9500,15819,497,0.1038,0.0402
fusion_event,0.3705,0.9834,0.5382,,,4451,7563,75,12014.0,4526.0
